GEOID,nodes
30067,6362
17091,5536
27009,18757
08041,109561
16065,3262
13057,9188
37179,60723
17021,1076
42087,52009
05137,871
27043,449
19037,450
28071,24437
12101,42889
51077,2578
46021,0
51670,634
17137,4954
19183,486
48325,527
20205,43
46059,9
42119,10058
48285,16
48177,349
40037,4885
13187,7290
29009,364
13067,67402
55035,18882
19131,585
21233,163
17083,3326
46109,596
27065,890
26061,6969
26005,6626
42077,31413
39019,550
26117,6279
20011,371
56011,879
55089,13355
19043,1625
40091,317
48097,1171
46031,206
39029,2708
51135,319
48249,456
17103,1979
31151,677
37071,22363
17089,149978
05143,52440
26049,27563
31033,746
39153,103100
27113,1012
13055,1546
42109,3453
48415,275
08039,7898
31153,83220
29229,54
13287,480
40007,45
20165,6
46129,206
31073,266
48295,0
20175,455
13003,166
54069,2037
28091,77
32017,1003
48189,422
21041,910
29059,326
45077,8228
39137,6998
38043,37
46057,18
40039,488
38031,201
32013,8395
40003,139
26111,15920
47099,1178
18045,108
46091,17
19187,1876
29131,999
55127,8886
39139,1868
13131,109
46051,360
39135,897
35019,84
19049,44548
24510,65859
31173,871
55109,19189
17009,91
18095,5497
17037,21380
19161,506
40077,435
19103,24677
29227,55
54101,2058
01007,1290
20029,133
18169,3091
36097,1616
33003,45516
32009,2665
38033,3916
18063,20227
19141,1683
17007,2203
20199,76
01133,215
47183,3035
28129,402
28117,146
26145,13974
27017,7879
27093,1961
04023,4029
54077,906
20117,179
38015,31961
18163,8539
48019,1546
42019,21793
19151,47
42115,1831
06115,10965
48273,738
20059,3208
48283,473
20151,411
08087,779
38011,73
45039,2411
47169,69
08014,68795
29077,27940
27099,5671
42085,8284
21137,870
40059,71
19165,350
42007,19908
31031,5019
17203,15432
54051,14156
55139,24595
47017,592
29221,685
42029,88356
26077,64701
48111,173
18033,1090
29175,1869
51710,13522
28061,135
29015,482
29055,1314
17195,2499
56007,1518
38045,274
31169,83
28141,1386
39057,25833
42039,7380
19127,6158
18151,3238
20171,25
48247,8
17199,2435
35053,8305
13017,121
17077,5789
28085,205
19155,45808
46037,895
48123,761
20127,162
21053,468
51510,22502
18131,360
13117,83554
20103,35809
19071,1377
25003,12558
40111,169
42047,6211
26037,10147
31023,208
29185,1187
26159,4322
21161,560
19007,346
20083,0
48133,58
26015,6874
05113,751
18037,1768
08121,456
48375,6724
17175,142
19153,174569
40071,1484
53059,8840
04019,183543
01017,855
17023,46
32005,16998
45011,1057
18043,20522
51730,3556
18141,19664
36003,5641
51520,1315
01127,577
26151,850
48181,2973
41053,12989
05111,257
50017,3991
01083,10485
37067,20298
37185,405
21087,729
37011,5014
30037,0
28059,3772
29219,4585
47103,37
51550,42105
22003,1459
01123,327
13071,1515
55021,9544
19003,0
13125,47
47039,147
19113,75329
30075,98
18127,19748
21021,3001
16047,178
36123,495
21215,517
31099,2283
31131,1350
47047,133
01125,43190
54015,865
18085,2920
20017,1163
21213,757
40107,11
01019,234
27135,2947
49003,113917
05065,108
40131,6021
33011,59896
21169,273
55015,6332
20209,95473
51630,4676
21157,7272
31117,0
51045,4741
42107,8960
01067,265
39087,26656
45081,793
29039,34
29081,254
22095,9116
47179,6438
36079,12381
39173,67054
13231,409
39001,2589
38039,69
48231,8944
51197,2133
31015,0
45037,4822
37035,8971
20043,569
39013,33494
47125,12848
46017,0
30101,404
38065,2193
36089,16489
47137,9403
13091,605
39049,195523
31065,37
40051,425
20007,74
55103,3272
19017,2361
31075,0
48065,88
12019,41416
36107,2795
21019,624
17141,7838
40123,622
19139,1187
08017,110
28123,59
29211,0
28103,84
08073,412
37097,17398
13115,4567
48365,100
19167,3803
13123,2754
20187,0
29101,3672
16009,749
21191,11012
29147,3329
31053,2555
09005,33454
05125,73226
48265,4543
47095,77
13155,322
48327,0
26009,7645
19087,1316
30095,1669
37197,2564
46053,327
20177,29380
37041,935
29123,259
56043,720
51810,38211
18059,14293
36109,20559
55093,8260
21111,82296
42025,5705
53013,259
49021,14041
48305,0
51035,2146
08089,790
36093,14477
40069,144
48461,3
13177,194
37157,2347
20141,65
48307,0
21049,1244
47019,3850
37175,4616
54003,3532
29201,475
13105,920
20189,3
18039,31298
26091,6308
31037,142
01103,9568
06109,4451
56003,586
29021,4030
51107,190792
13127,6409
45089,1499
22069,5342
53037,12457
34035,124129
29001,270
54093,2408
08107,3686
30055,200
37075,5706
13221,2002
08081,265
31079,1594
20047,9
13083,2561
39081,3620
20087,1088
51720,1371
26133,1316
19089,596
28133,3573
38023,109
55105,8740
31011,0
27149,711
38083,11
17079,213
39059,1569
31021,422
54053,1689
40121,637
21145,2964
31127,1336
09003,110849
13159,1372
08085,5660
40055,147
28063,24
54049,2365
48159,89
21211,2013
20183,0
48367,4317
26155,2280
20035,2375
48221,1183
19115,427
17127,2446
31045,582
13129,1234
27147,2056
55079,233862
17019,89986
27121,998
01077,6829
28127,177
47075,19
27055,7752
35049,61964
48337,0
17191,0
55061,646
18049,873
48429,17
30109,15
26001,608
22089,8347
12115,57583
40115,387
20191,224
37181,1424
20015,2598
29510,55964
55025,205813
40015,1227
05083,1205
55133,65511
48121,98784
28037,0
39079,514
23001,2242
22049,0
51685,6167
56019,372
48369,0
55013,5502
19097,4198
26045,16916
46107,8
38093,792
41009,4824
18167,7938
38051,81
04003,10958
13035,4723
28097,378
39007,9853
38081,300
42117,3575
51650,18108
13247,9318
20033,1413
54037,8824
27169,10551
17113,24788
06091,1222
26065,93375
16051,3089
19181,16220
29083,425
20179,111
48317,258
56045,32
19179,6083
35003,2522
16057,4240
29199,754
37001,6613
40047,1991
48055,2008
31111,2258
27045,3925
27033,965
13093,135
45013,4819
48297,422
39141,11060
29049,1200
49053,34589
31059,101
39025,30754
53001,8981
31089,531
18155,172
39071,3416
22023,329
19157,811
39175,581
23013,7999
23019,15667
27159,200
48279,0
42013,5653
53023,952
55009,30140
28105,6876
35059,85
37151,4245
26131,6508
48381,20432
40147,435
51071,7223
29161,2301
38025,389
21055,1030
36005,59201
48255,1441
48291,2072
17015,810
12061,26776
22093,342
13069,1777
20045,42220
31067,1259
38075,148
31171,47
29105,203
31051,454
19191,3050
55087,25612
13165,377
55081,2037
08123,54414
29165,49272
36087,26811
51025,343
36001,37291
30017,283
29047,62610
20063,8
26081,106795
26069,2430
21185,8052
48503,94
13297,15217
13053,8836
36007,11147
39023,8177
31057,13
31019,2480
17187,926
48345,0
21077,38
13307,40
39011,3495
37143,3671
55113,3284
35031,3695
26105,3174
20207,7
21023,445
17161,26231
21081,523
20061,25663
48385,270
48153,1098
16011,13600
19185,400
18031,1388
19061,12766
50007,36434
17159,923
17193,1760
26107,3974
55055,7858
26087,3845
42105,1201
13281,6941
20105,146
51183,124
26165,5123
41013,11842
41049,1480
19129,1409
46063,0
40119,15075
30097,173
26127,2748
19053,1922
13161,65
19041,586
29075,7
56005,1679
53003,1909
13043,597
48451,3103
39089,8794
19193,7455
