GEOID,nodes
26099,108287
51109,1174
26063,2449
24041,3438
27129,810
55037,668
21069,176
22105,662
48001,376
18125,187
38097,976
46009,202
48009,148
19035,373
05039,0
29171,159
28013,8
54025,5043
04025,49964
13025,115
26029,19292
40145,12131
36029,72228
21123,3700
01113,9865
37141,5322
30027,2027
30063,21058
51053,4011
54005,123
05081,45
18137,3216
48061,16539
01101,16499
51073,6818
28151,83
13073,11123
30077,33861
48437,0
12123,1681
12013,995
16003,1461
13213,5125
21029,6745
48109,122
24045,3300
37079,305
21231,5059
48141,34194
21109,10636
38055,2223
51036,753
13217,5175
36061,190103
47155,5527
21061,1498
06095,39779
41047,41078
47073,2056
20053,1271
22017,10371
47151,12158
47159,1559
30007,7744
48195,13
06001,252906
22109,881
22029,224
45091,58355
04027,8114
12037,6090
12029,1449
06061,44642
12133,2613
47055,126
48379,177
12129,3812
13271,341
18159,529
01129,121
06055,33662
54073,1079
37099,9254
48051,16093
13103,3641
48431,114
48063,646
08031,310818
28089,4623
54087,3837
54027,1297
12131,25985
54103,59
54083,6275
21209,11581
37149,1594
08051,9257
06057,14063
51610,3380
06069,45880
51075,3294
21121,366
35017,3295
35021,88
37059,6202
08049,8182
29069,185
29183,164533
13237,465
22073,4836
48187,27301
48491,62267
39123,6546
30051,0
06077,41023
16059,2599
13141,1543
22025,15
24021,65124
30035,16429
37159,10056
53061,70288
24027,84274
13113,7697
01097,13063
24043,14073
51005,1803
06013,193656
31077,0
48073,1631
36063,25538
36081,224819
51167,2384
32015,8586
53065,2909
41045,1815
48495,137
37117,1089
13215,9410
53077,10240
30015,4191
53033,555824
22033,24758
38019,2204
01089,40111
37113,9439
37039,1678
51155,3192
37161,6139
38059,34134
48081,114
13107,721
51113,4425
48029,87518
51125,2737
47025,1110
17097,122743
47081,194
13251,103
53045,5156
37199,546
42071,75515
27137,74879
18089,27571
48075,220
28049,7705
36031,5114
42063,4350
32011,245
47105,5345
37083,2383
29029,1788
48161,23
51177,37523
26041,1373
51195,2756
39107,1548
40113,2836
19189,123
48261,0
27011,734
17153,326
23031,53258
55051,3375
24019,1421
05147,132
26083,2176
21237,7602
08019,6214
05013,58
21177,139
48089,719
26071,1076
30003,23672
21115,1741
35051,800
21027,764
01095,3761
22063,5130
23021,9393
30001,6767
01073,75300
24009,8932
22091,0
47033,405
22077,27
01069,5498
01063,769
41019,19995
18065,2310
22021,42
12007,2072
36047,162433
30029,40191
30093,4387
01005,694
06103,3654
22041,35
06089,70128
13001,265
53007,17573
24001,6177
01091,904
37125,1933
46117,3305
36065,14551
51161,15868
54013,30
08015,5366
42061,7914
48205,932
01085,411
05099,209
05075,179
06107,15462
06071,241696
16039,108576
55043,9170
45071,3853
48155,515
47059,877
45063,58938
41055,528
36103,327968
48393,0
30047,4342
47157,166721
44005,7457
22085,1056
19091,66
33007,24771
53075,10792
26013,3551
24035,8549
25013,38685
25021,140636
23015,13913
45061,984
48167,41196
