course,link,latitude,longitude
Akron Community Disc Golf Course,https://www.pdga.com/course-directory/course/akron-community-dgc,41.0382746,-86.0282405
Alamance Reserve Apartments,https://www.pdga.com/course-directory/course/alamance-reverve-apartments,36.064503,-79.509755
Alameda Park,https://www.pdga.com/course-directory/course/alameda-park,32.9068169,-105.960538
Alamosa Disc Golf Course,https://www.pdga.com/course-directory/course/alamosa-disc-golf-course,37.491681,-105.886674
Alan John Memorial Disc Golf Course,https://www.pdga.com/course-directory/course/alan-john-memorial-disc-golf-course,37.482472,-97.235664
"Albert Oakland Park, Lower (Bottom)",https://www.pdga.com/course-directory/course/albert-oakland-park-back-course,38.98378,-92.30688
"Albert Oakland Park, Upper (Top)",https://www.pdga.com/course-directory/course/albert-oakland-park-front-course,38.98515,-92.310683
Alberton Town Park Disc Golf Course,https://www.pdga.com/course-directory/course/alberton-town-park-disc-golf-course,47.0033324,-114.4787645
Albia City Park,https://www.pdga.com/course-directory/course/albia-city-park,41.0375,-92.802778
Albion Disc Golf Course,https://www.pdga.com/course-directory/course/albion-disc-golf-course,41.893846,-80.3687077
Alcantra Disc Golf - Big Su,https://www.pdga.com/course-directory/course/alcantra-disc-golf-big-su,61.612033755995,-149.38097339333
Alcantra Disc Golf - Little Su,https://www.pdga.com/course-directory/course/alcantra,61.612033755995,-149.38097339333
Alcyon Woods,https://www.pdga.com/course-directory/course/alcyon-woods,39.731152039407,-75.145152126836
Aldersgate Camp and Retreat,https://www.pdga.com/course-directory/course/aldersgate-camp-and-retreat,37.732061,-83.850753
Alex Clark Memorial Disc Golf Course,https://www.pdga.com/course-directory/course/alex-clark-memorial-disc-golf-course,33.187433,-96.645517
Alexander Middle School Disc Golf Course,https://www.pdga.com/course-directory/course/alexander-middle-school-disc-golf-course,44.309253,-89.915425
Alexander Park,https://www.pdga.com/course-directory/course/alexander-park,33.91576859739,-84.003729770961
Alexandria Community Park,https://www.pdga.com/course-directory/course/alexandria-park,38.963503,-84.371208
Alexandria Township Park Disc Golf Course,https://www.pdga.com/course-directory/course/alexandria-township-park-disc-golf-course,40.5877982,-75.0565806
Alien's Landing,https://www.pdga.com/course-directory/course/aliens-landing,43.334978614522,-83.076639592643
Alimagnet Lake Park Disc Golf Course,https://www.pdga.com/course-directory/course/alimagnet-lake-park-disc-golf-course,44.740027,-93.243456
All Aboard Disc Golf,https://www.pdga.com/course-directory/course/all-aboard-disc-golf,45.248144,-68.589788
All Saints Disc Golf Course,https://www.pdga.com/course-directory/course/all-saints-disc-golf-course-private,37.565329,-86.3676101
All-Terrain Disc Golf Course at Carolina Adventure World,https://www.pdga.com/course-directory/course/all-terrain-disc-golf-course-carolina-adventure-world,NA,NA
Allaire State Park,https://www.pdga.com/course-directory/course/allaire-state-park,NA,NA
Allegan Jaycee Park,https://www.pdga.com/course-directory/course/allegan-jaycee-park,42.5305195,-85.8506504
Allen Howell Disc Golf Course,https://www.pdga.com/course-directory/course/allen-howell-disc-golf-course,39.3511288,-111.5701162
Alligator Lake,https://www.pdga.com/course-directory/course/warrior-hills,31.145280039333,-93.150930404663
Alligator Lake Disc Golf Course,https://www.pdga.com/course-directory/course/alligator-lake-disc-golf-course,30.166059291487,-82.614561617374
Alma Flying Disc Golf Course,https://www.pdga.com/course-directory/course/alma-greens-disc-golf-course,35.4952,-94.221318
Alma Middle School Disc Golf Course,https://www.pdga.com/course-directory/course/alma-middle-school-disc-golf-course,35.488476,-94.214217
Almena City Park,https://www.pdga.com/course-directory/course/almena-city-park,39.895991,-99.701122
Almira Township Park,https://www.pdga.com/course-directory/course/almira-township-park,44.7364873,-85.881453
Almon Park Disc Golf Course,https://www.pdga.com/course-directory/course/almon-park-disc-golf-course,45.585105,-89.415151
Alpha Park,https://www.pdga.com/course-directory/course/alpha-park,40.6388446,-89.6804033
Alpine Christian Camp,https://www.pdga.com/course-directory/course/alpine-camp,34.2452398,-117.2261576
Alsip Disc Golf Course,https://www.pdga.com/course-directory/course/alsip-disc-golf-course,41.6758556,-87.7308826
Alta Vista Disc Golf Course,https://www.pdga.com/course-directory/course/alta-vista,38.6648875,-105.1152308
Altamont Lions Disc Golf Course at Gilbert Park,https://www.pdga.com/course-directory/course/altamont-lions-disc-golf-course-gilbert-park,39.053793,-88.741604
Altmaier Family Park Disc Golf Course,https://www.pdga.com/course-directory/course/coralville-disc-golf-course,41.685274288279,-91.617298318768
Alton Baker Disc Golf Course,https://www.pdga.com/course-directory/course/alton-baker-disc-golf-course,44.055410695447,-123.07978979179
Altstadt Acres,https://www.pdga.com/course-directory/course/altstadt-acres,38.28522,-86.953676
Alumni Park at Pepperdine,https://www.pdga.com/course-directory/course/alumni-park-pepperdine,34.0388681,-118.706743
Alvord Park Disc Golf Course,https://www.pdga.com/course-directory/course/alvord-park-disc-golf-course,41.8240657,-73.1014297
Amanda's Field,https://www.pdga.com/course-directory/course/amandas-field,39.258513,-74.740064
Ambient Disc Golf Course,https://www.pdga.com/course-directory/course/ambient-disc-golf-course,47.185114328001,-122.50992667673
Ambrose A. Call Park,https://www.pdga.com/course-directory/course/ambrose-call-park,43.052682,-94.247041
Amelia,https://www.pdga.com/course-directory/course/amelia,39.016368,-84.228226
Amelia Earhart Park,https://www.pdga.com/course-directory/course/amelia-earhart-park,25.886,-80.281
American Falls Disc Golf Course,https://www.pdga.com/course-directory/course/american-falls-disc-golf-course,42.776791,-112.853601
American Legion Mtn. Post 781 Disc Golf Course,https://www.pdga.com/course-directory/course/american-legion-mtn-post-781-disc-golf-course,41.126817,-75.9515679
American Legion Park,https://www.pdga.com/course-directory/course/american-legion-park-0,46.427719,-94.201809
American Legion Park,https://www.pdga.com/course-directory/course/american-legion-park,37.008792698805,-85.925922631058
Ames Park,https://www.pdga.com/course-directory/course/ames-park,40.2342837,-104.9959538
Amesbury Pines at Town Park,https://www.pdga.com/course-directory/course/town-park-amesbury-pines,42.85234,-70.940957
Amigo Park at Hill College,https://www.pdga.com/course-directory/course/amigo-park-hill-college,32.3280456,-97.4362784
Amrock Disc Golf Course,https://www.pdga.com/course-directory/course/amrock-disc-golf-course,40.5319366,-80.2495566
Amundson Park,https://www.pdga.com/course-directory/course/amundson-park,43.930615708392,-90.842615405313
Anderson Community Park Disc Golf Course,https://www.pdga.com/course-directory/course/anderson-community-park-disc-golf-course,38.0396041,-84.9073469
Anderson Creek,https://www.pdga.com/course-directory/course/anderson-creek,35.3158858,-78.9571069
Anderson Park Disc Golf,https://www.pdga.com/course-directory/course/anderson-park-disc-golf,35.921626,-79.104992
Anderson River Park,https://www.pdga.com/course-directory/course/anderson-river-park,NA,NA
Anderson University,https://www.pdga.com/course-directory/course/anderson-university,34.5326076,-82.610426
Anderson Valley Brewing Company,https://www.pdga.com/course-directory/course/anderson-valley-brewing-company,39.000746,-123.35652
Anderson-Dean Community Park,https://www.pdga.com/course-directory/course/anderson-dean-community-park,37.7989,-84.8456
Andrew Brown Park,https://www.pdga.com/course-directory/course/andrew-brown-park,32.981622,-96.978426
Andrews University,https://www.pdga.com/course-directory/course/andrews-university,41.9661212,-86.3573464
Andrews Wetlands Park,https://www.pdga.com/course-directory/course/andrews-wetlands-park,32.3302291,-102.5390128
Angel Fire Resort,https://www.pdga.com/course-directory/course/angel-fire-resort,36.3876466,-105.2733179
Angel Mounds,https://www.pdga.com/course-directory/course/angel-mounds,37.946062286752,-87.449578846726
Angelica Park,https://www.pdga.com/course-directory/course/angelica-park,40.3096655,-75.9251327
Angelo State University,https://www.pdga.com/course-directory/course/angelo-state-university,31.4419429,-100.4573456
Angelus Oaks Lodge Disc Golf Course,https://www.pdga.com/course-directory/course/angelus-oaks-lodge-disc-golf-course,34.1490946,-116.9792864
Angostura Disc Golf Course,https://www.pdga.com/course-directory/course/angostura-disc-golf-course,43.343,-103.4337
Angry Apple,https://www.pdga.com/course-directory/course/angry-apple,42.9057527,-78.4332068
Ann Dever Park,https://www.pdga.com/course-directory/course/ann-dever-park,26.9246858,-82.3138167
Ann Morrison Park,https://www.pdga.com/course-directory/course/ann-morrison-park-southeast,43.61282396673,-116.22498627983
Ann's Park Disc Golf Course,https://www.pdga.com/course-directory/course/anns-park-disc-golf-course,38.3572771,-97.0118565
Anna City Park,https://www.pdga.com/course-directory/course/anna-city-park,37.4550506,-89.2450961
Anna Page Park - East,https://www.pdga.com/course-directory/course/anna-page-park-east,42.305733,-89.14805
Anna Page Park - South,https://www.pdga.com/course-directory/course/anna-page-park-south,42.305606211745,-89.148543477058
Anna Page Park - West,https://www.pdga.com/course-directory/course/anna-page-park-west,42.306300491909,-89.149310588837
Annie Oakley Park,https://www.pdga.com/course-directory/course/annie-oakley-park,39.1305364,-100.8460919
Anson B. Nixon Park,https://www.pdga.com/course-directory/course/anson-b-nixon-park,39.852567,-75.708283
